"Refs","Value","Footprint","Qty","DNP"
"AOD4184A1","NMOS","Package_TO_SOT_SMD:TO-252-2","1",""
"BLED1","LED","LED_SMD:LED_0805_2012Metric","1",""
"C1","10uf","Capacitor_SMD:C_0805_2012Metric","1",""
"C2","10uf","Capacitor_SMD:C_0805_2012Metric","1",""
"CHRG1","LED","LED_SMD:LED_0805_2012Metric","1",""
"Display1-SSD1306","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"IGNITOR1","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","1",""
"InBatt1","Conn_01x02","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","1",""
"LORA-Sx1278(A)1","Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1",""
"LORA-Sx1278(B)1","Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1",""
"ModuloDeCarga1","TP4056-42-ESOP8","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","1",""
"R1","330","Resistor_SMD:R_0805_2012Metric","1",""
"R2","330","Resistor_SMD:R_0805_2012Metric","1",""
"R3","330","Resistor_SMD:R_0805_2012Metric","1",""
"R4","2.2k","Resistor_SMD:R_0805_2012Metric","1",""
"R5","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R6","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R7","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R8","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R9","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R11","220","Resistor_SMD:R_0805_2012Metric","1",""
"RaspberryPi_Pico1-RP2040","RaspberryPi_Pico","Module:RaspberryPi_Pico_Common_Unspecified","1",""
"RLED1","LED","LED_SMD:LED_0805_2012Metric","1",""
"STDBY1","LED","LED_SMD:LED_0805_2012Metric","1",""
"SW1","SW_Push","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","1",""
"SW2","SW_SPDT","Button_Switch_THT:SW_E-Switch_EG1224_SPDT_Angled","1",""
"SW3","SW_SPDT","Button_Switch_THT:SW_E-Switch_EG1224_SPDT_Angled","1",""
"TH1","NTC 10k B3950","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","1",""
"YLED1","LED","LED_SMD:LED_0805_2012Metric","1",""
